group,year,value
Anteil der Kinder in Ganztagsgrundschulen,2005/06,0.098350468
Anteil der Kinder in Ganztagsgrundschulen,2006/07,0.1258903159
Anteil der Kinder in Ganztagsgrundschulen,2007/08,0.1602344289
Anteil der Kinder in Ganztagsgrundschulen,2008/09,0.1861664064
Anteil der Kinder in Ganztagsgrundschulen,2009/10,0.2103880261
Anteil der Kinder in Ganztagsgrundschulen,2010/11,0.2222437525
Anteil der Kinder in Ganztagsgrundschulen,2011/12,0.255874691
Anteil der Kinder in Ganztagsgrundschulen,2012/13,0.277870183
Anteil der Kinder in Ganztagsgrundschulen,2013/14,0.3010466479
Anteil der Kinder in Ganztagsgrundschulen,2014/15,0.317255923
Anteil der Kinder im Grundschulalter in Horten,2006,0.1061757894
Anteil der Kinder im Grundschulalter in Horten,2007,0.115306692
Anteil der Kinder im Grundschulalter in Horten,2008,0.1223717881
Anteil der Kinder im Grundschulalter in Horten,2009,0.1315450579
Anteil der Kinder im Grundschulalter in Horten,2010,0.1391561547
Anteil der Kinder im Grundschulalter in Horten,2011,0.1451486004
Anteil der Kinder im Grundschulalter in Horten,2012,0.1518856449
Anteil der Kinder im Grundschulalter in Horten,2013,0.1566994375
Anteil der Kinder im Grundschulalter in Horten,2014,0.1556309274
Anteil der Kinder im Grundschulalter in Horten,2015,0.1606622623
