region,year,value
Deutschland,1949,0.785
Deutschland,1953,0.86
Deutschland,1957,0.878
Deutschland,1961,0.877
Deutschland,1965,0.868
Deutschland,1969,0.867
Deutschland,1972,0.911
Deutschland,1976,0.907
Deutschland,1980,0.886
Deutschland,1983,0.891
Deutschland,1987,0.843
Deutschland,1990,0.7776073787
Deutschland,1994,0.7896842436
Deutschland,1998,0.8220017392
Deutschland,2002,0.7908268421
Deutschland,2005,0.776524679
Deutschland,2009,0.7078437277
Deutschland,2013,0.7152888199
Westdeutsche Bundesländer,1990,0.785997739
Westdeutsche Bundesländer,1994,0.8053496657
Westdeutsche Bundesländer,1998,0.8275872336
Westdeutsche Bundesländer,2002,0.8062965837
Westdeutsche Bundesländer,2005,0.7848142993
Westdeutsche Bundesländer,2009,0.722408148
Westdeutsche Bundesländer,2013,0.7244807528
Ostdeutsche Bundesländer,1990,0.7447987884
Ostdeutsche Bundesländer,1994,0.7263614226
Ostdeutsche Bundesländer,1998,0.799610507
Ostdeutsche Bundesländer,2002,0.7281063318
Ostdeutsche Bundesländer,2005,0.7426575986
Ostdeutsche Bundesländer,2009,0.6471285395
Ostdeutsche Bundesländer,2013,0.6755350245
